timestamp	researcher	module	commit	metric_avg	metric_best	status	hypothesis	description
2026-04-11T06:46:32	r3	perturbation	27943e8	0.0690	0.0428	keep	baseline	Baseline: small+medium 0% gap; large seed42: fl1577=0.0585%, d2103=0.1057%, pcb3038=0.0428%, geomean~0.069%
2026-04-11T06:46:40	r1	subgradient_optimization	27943e8	0.069	0.043	keep	baseline: fixed halving schedule 0.7/0.3 momentum	Baseline: all small+medium optimal, large: fl1577=22262(0.058%), d2103=80535(0.106%), pcb3038=137753(0.043%), geomean_gap=0.069%
2026-04-11T06:46:48	r2	move_operators	27943e8	0.0690	0.0429	baseline	baseline: unmodified LKH-2.0.10	fl1577=0.058% d2103=0.106% pcb3038=0.043% geo_mean_gap=0.069%
2026-04-11T07:08:11	r2	move_operators	dc0915a	0.0337	0.0000	keep	iterative Gain23: loop non-sequential moves until no improvement per pass	large: fl1577=0.047%avg d2103=0.054%avg pcb3038=0.000% (all 5 seeds). vs baseline fl1577=0.058% d2103=0.106% pcb3038=0.043% (seed42 only)
2026-04-11T07:13:31	r3	perturbation	3506155	0.1497	0.121	discard	enable K=4 kicks for large instances when KickType=0	Regression on large instances: fl1577=0.315%, d2103=0.269%, pcb3038=0.121% (all worse than baseline)
2026-04-11T07:19:08	r1	subgradient_optimization	239f72f	0.019	0.001	keep	Adaptive momentum: 90/10 monotone, 50/50 oscillating, 70/30 default	large: fl1577=22263(0.063%), d2103=80484avg(0.042%), pcb3038=137695avg(0.001%); geomean=0.019% vs baseline 0.069%; composition: fl1577 optimal\!
2026-04-11T07:24:50	r1	subgradient_optimization	7af37de	0.042	0.000	discard	Sign-corrected adaptive momentum: fallback to V when weighted update inverts direction	fl1577=22271(0.099%)->WORSE, d2103=80469(0.024%), pcb3038=137694(0%); sign correction hurts, momentum inversions are useful damping
2026-04-11T07:29:16	r2	move_operators	cdba4a9	0.0337	0.0000	discard	tighter gain-bound pruning: skip X6/X8 loops when max G4/G6 provably <= 0	identical results to H1 - pruning too conservative to have effect; reverted
2026-04-11T07:35:38	r2	move_operators	d340313	0.0337	0.0000	discard	tighter G7 pruning in Best5OptMove: skip X10 loop when max G8 <= 0	dead code: G7 > 0 always after existing G7<=0 check; G7+SucCost always > 0
2026-04-11T07:37:24	r3	perturbation	fb2db94	0.0427	0.0	discard	directed FirstNode: 1-in-3 trials start from longest-gap edge in best tour	fl1577 improved (0.048%->0.035%), but d2103 seed789 regressed 2.3x and pcb3038 seeds 123/1024 regressed from optimal
2026-04-11T07:39:09	r2	move_operators	4753953	N/A	N/A	discard	try expensive tour edge first in X2 loop: larger G0 improves search quality	seed42 screening fail: d2103 regressed 0.0037%->0.0497%, fl1577 0.0539%->0.0584%
2026-04-11T07:46:48	r1	subgradient_optimization	5d849b4	0.028	0.007	discard	Tune oscillation damping: 6/4 instead of 5/5	fl1577=22262avg(0.058%), d2103=80465avg(0.019%), pcb3038=137703avg(0.007%); pcb3038 regressed vs 5/5, seed 123 outlier at 137741
2026-04-11T07:47:34	r2	move_operators	b70b784	N/A	N/A	discard	activate new tour neighbors of t1 after improvement	seed42 regression: d2103 0.0037%->0.0733% - extra activations slow per-step computation
2026-04-11T07:55:46	r2	move_operators	dc0915a	N/A	N/A	discard	priority active queue: move max(SucCost-Cost) node to front each outer iteration	seed42 regression: d2103 80462 vs H1 80453; extra queue scan adds overhead with no benefit
2026-04-11T07:55:49	r3	perturbation	b5cb22c	0.0417	0.0	discard	stagnation-triggered directed FirstNode (sqrt-Dim threshold)	fl1577 improved 0.048%->0.025%, but d2103 seed789 still regresses 2.3x (0.046%->0.106%)
2026-04-11T08:09:45	r1	subgradient_optimization	ab63c23	0.038	0.000	discard	Warm refinement: 5 extra iterations from BestPi with T=Precision/4	fl1577=22259avg(0.045%), d2103=80498avg(0.060%), pcb3038=137705avg(0.008%); fl1577 improved but d2103+pcb3038 regressed, worse overall geomean
2026-04-11T08:14:30	r3	perturbation	6947930	0.0676	0.0	discard	stagnation-directed FirstNode with random-state alignment	fl1577 seed42 regressed 22262->22264; random-state alignment insufficient - ChooseInitialTour also varies Random() usage
2026-04-11T08:24:45	w1	wildcard	d802593	0.0073	0.0000	keep	extra NN candidates improve large instance quality	ExtraCandidates=3 NN type added to default params
2026-04-11T08:25:52	r1	subgradient_optimization	fb8f56f	0.030	0.000	discard	Simplify: 5/5 damping only, 7/3 for same sign	fl1577=22257avg(0.036%), d2103=80482avg(0.040%), pcb3038=137713avg(0.014%); pcb3038 regressed vs 9/1+5/5, 9/1 is important
2026-04-11T08:30:48	r2	move_operators	dc0915a	N/A	N/A	discard	continue outer do-while until active queue empty (FirstActive != 0)	identical to H1: hash table exits immediately when no improvement; remaining active nodes never get a chance because cost unchanged → HashSearch fires
2026-04-11T08:32:48	r1	subgradient_optimization	0e0f6e0	0.025	0.000	discard	Slower T decay: T=T*3/4 per outer iteration	fl1577=22263(same), d2103=80492(worse vs 80460), pcb3038=137694(same); slower T decay hurts d2103
2026-04-11T08:33:15	r2	move_operators	dc0915a	N/A	N/A	discard	relax RestrictedSearch: skip Near check for Trial>1	timeout on d2103 seed42 (120s): removing RestrictedSearch for trials 2+ causes O(n^2) extra work per pass
2026-04-11T08:38:14	r1	subgradient_optimization	6504590	0.025	0.000	discard	Double-pass Ascent: warm-start second pass from first pass BestPi	fl1577=22263(same), d2103=80529(worse\!), pcb3038=137694; warm Pi start disrupts second pass convergence
2026-04-11T08:44:37	w1	wildcard	e1164d6	0.0059	0.0000	keep	greedy initial tour gives better starting point	InitialTourAlgorithm=GREEDY default
2026-04-11T08:52:41	r2	move_operators	3d79741	0.0169	0.0000	keep	LIFO t1 re-activation: put improved node at front of active queue for immediate hot-restart	d2103: 0.054%->0.016%avg; fl1577: 0.047%->0.034%avg; pcb3038: 0%->0.001%avg (trivial regression); metric_avg: 0.034%->0.017%
2026-04-11T08:56:19	r1	subgradient_optimization	db7a769/53ed0f0	0.040	0.000	discard	Increase AscentCandidates to 60-75 for Dimension>1000	75: d2103 timeout; 60: d2103=80491(worse vs 80460); extra candidates slow Ascent without quality gain
